fid,id,left,top,right,bottom,row_index,col_index,ALS_30m_0mean
38252,38252,338113.875535156,6534235.8492533,338143.875535156,6534205.8492533,255,118,0.416542316300367
38253,38253,338113.875535156,6534205.8492533,338143.875535156,6534175.8492533,256,118,0.56002819573237
38574,38574,338143.875535156,6534235.8492533,338173.875535156,6534205.8492533,255,119,0.950833207241354
38575,38575,338143.875535156,6534205.8492533,338173.875535156,6534175.8492533,256,119,0.636961420013414
38576,38576,338143.875535156,6534175.8492533,338173.875535156,6534145.8492533,257,119,0.514301764092947
38577,38577,338143.875535156,6534145.8492533,338173.875535156,6534115.8492533,258,119,0.346360098030487
38896,38896,338173.875535156,6534235.8492533,338203.875535156,6534205.8492533,255,120,0.357075235221272
38897,38897,338173.875535156,6534205.8492533,338203.875535156,6534175.8492533,256,120,0.57082126463453
38898,38898,338173.875535156,6534175.8492533,338203.875535156,6534145.8492533,257,120,0.772433957863185
38899,38899,338173.875535156,6534145.8492533,338203.875535156,6534115.8492533,258,120,0.676189446400409
38900,38900,338173.875535156,6534115.8492533,338203.875535156,6534085.8492533,259,120,0.426034930258086
38901,38901,338173.875535156,6534085.8492533,338203.875535156,6534055.8492533,260,120,1.27019906138317
38902,38902,338173.875535156,6534055.8492533,338203.875535156,6534025.8492533,261,120,2.39943621148755
38903,38903,338173.875535156,6534025.8492533,338203.875535156,6533995.8492533,262,120,3.44409480179424
38904,38904,338173.875535156,6533995.8492533,338203.875535156,6533965.8492533,263,120,3.53335863318147
39218,39218,338203.875535156,6534235.8492533,338233.875535156,6534205.8492533,255,121,0.490393848353596
39219,39219,338203.875535156,6534205.8492533,338233.875535156,6534175.8492533,256,121,1.11522153038118
39220,39220,338203.875535156,6534175.8492533,338233.875535156,6534145.8492533,257,121,0.837492100513644
39221,39221,338203.875535156,6534145.8492533,338233.875535156,6534115.8492533,258,121,0.559134821883506
39222,39222,338203.875535156,6534115.8492533,338233.875535156,6534085.8492533,259,121,3.7194671120743
39223,39223,338203.875535156,6534085.8492533,338233.875535156,6534055.8492533,260,121,3.04190313897199
39224,39224,338203.875535156,6534055.8492533,338233.875535156,6534025.8492533,261,121,4.17987954778804
39225,39225,338203.875535156,6534025.8492533,338233.875535156,6533995.8492533,262,121,5.14133301513063
39226,39226,338203.875535156,6533995.8492533,338233.875535156,6533965.8492533,263,121,1.28837982477995
39227,39227,338203.875535156,6533965.8492533,338233.875535156,6533935.8492533,264,121,0.225369484089215
39228,39228,338203.875535156,6533935.8492533,338233.875535156,6533905.8492533,265,121,0.148593574531388
39229,39229,338203.875535156,6533905.8492533,338233.875535156,6533875.8492533,266,121,0.413783667014425
39230,39230,338203.875535156,6533875.8492533,338233.875535156,6533845.8492533,267,121,0.436424234389898
39231,39231,338203.875535156,6533845.8492533,338233.875535156,6533815.8492533,268,121,1.13297218064334
39232,39232,338203.875535156,6533815.8492533,338233.875535156,6533785.8492533,269,121,2.76277502858362
39233,39233,338203.875535156,6533785.8492533,338233.875535156,6533755.8492533,270,121,1.88866779354961
39234,39234,338203.875535156,6533755.8492533,338233.875535156,6533725.8492533,271,121,1.35045901871525
39235,39235,338203.875535156,6533725.8492533,338233.875535156,6533695.8492533,272,121,0.846891222669792
39236,39236,338203.875535156,6533695.8492533,338233.875535156,6533665.8492533,273,121,1.10119478405556
39237,39237,338203.875535156,6533665.8492533,338233.875535156,6533635.8492533,274,121,3.05245889452784
39238,39238,338203.875535156,6533635.8492533,338233.875535156,6533605.8492533,275,121,1.35232644072462
39251,39251,338203.875535156,6533245.8492533,338233.875535156,6533215.8492533,288,121,2.75446329116821
44065,44065,338653.875535156,6533725.8492533,338683.875535156,6533695.8492533,272,136,4.20227277312014
44066,44066,338653.875535156,6533695.8492533,338683.875535156,6533665.8492533,273,136,3.42272314621343
44067,44067,338653.875535156,6533665.8492533,338683.875535156,6533635.8492533,274,136,3.50434277349048
44068,44068,338653.875535156,6533635.8492533,338683.875535156,6533605.8492533,275,136,4.12624406145679
44069,44069,338653.875535156,6533605.8492533,338683.875535156,6533575.8492533,276,136,3.48530675470829
44070,44070,338653.875535156,6533575.8492533,338683.875535156,6533545.8492533,277,136,2.95872864895397
44071,44071,338653.875535156,6533545.8492533,338683.875535156,6533515.8492533,278,136,3.7731429940131
44072,44072,338653.875535156,6533515.8492533,338683.875535156,6533485.8492533,279,136,4.82665391895506
44073,44073,338653.875535156,6533485.8492533,338683.875535156,6533455.8492533,280,136,4.05540157887671
44074,44074,338653.875535156,6533455.8492533,338683.875535156,6533425.8492533,281,136,3.17800529393885
44075,44075,338653.875535156,6533425.8492533,338683.875535156,6533395.8492533,282,136,1.94176062165035
44076,44076,338653.875535156,6533395.8492533,338683.875535156,6533365.8492533,283,136,4.86509687206811
44077,44077,338653.875535156,6533365.8492533,338683.875535156,6533335.8492533,284,136,1.76718720161253
44078,44078,338653.875535156,6533335.8492533,338683.875535156,6533305.8492533,285,136,1.65846743055516
44079,44079,338653.875535156,6533305.8492533,338683.875535156,6533275.8492533,286,136,1.24007014445133
44080,44080,338653.875535156,6533275.8492533,338683.875535156,6533245.8492533,287,136,1.50931813663079
44081,44081,338653.875535156,6533245.8492533,338683.875535156,6533215.8492533,288,136,3.15662636541658
44082,44082,338653.875535156,6533215.8492533,338683.875535156,6533185.8492533,289,136,3.13616520739264
44083,44083,338653.875535156,6533185.8492533,338683.875535156,6533155.8492533,290,136,3.10491805394491
44084,44084,338653.875535156,6533155.8492533,338683.875535156,6533125.8492533,291,136,3.53833153381944
44085,44085,338653.875535156,6533125.8492533,338683.875535156,6533095.8492533,292,136,1.94847024377022
44086,44086,338653.875535156,6533095.8492533,338683.875535156,6533065.8492533,293,136,2.1975195496281
44087,44087,338653.875535156,6533065.8492533,338683.875535156,6533035.8492533,294,136,5.07364611473348
44088,44088,338653.875535156,6533035.8492533,338683.875535156,6533005.8492533,295,136,4.57142541878753
44089,44089,338653.875535156,6533005.8492533,338683.875535156,6532975.8492533,296,136,4.07973503477044
44090,44090,338653.875535156,6532975.8492533,338683.875535156,6532945.8492533,297,136,2.43830743435356
44091,44091,338653.875535156,6532945.8492533,338683.875535156,6532915.8492533,298,136,3.935569199423
44092,44092,338653.875535156,6532915.8492533,338683.875535156,6532885.8492533,299,136,4.38170415057076
44093,44093,338653.875535156,6532885.8492533,338683.875535156,6532855.8492533,300,136,2.90064175549481
44094,44094,338653.875535156,6532855.8492533,338683.875535156,6532825.8492533,301,136,4.01903976543082
44095,44095,338653.875535156,6532825.8492533,338683.875535156,6532795.8492533,302,136,2.70301719069481
44096,44096,338653.875535156,6532795.8492533,338683.875535156,6532765.8492533,303,136,3.25435515246458
44097,44097,338653.875535156,6532765.8492533,338683.875535156,6532735.8492533,304,136,1.83430198603206
44098,44098,338653.875535156,6532735.8492533,338683.875535156,6532705.8492533,305,136,2.24689973872569
44099,44099,338653.875535156,6532705.8492533,338683.875535156,6532675.8492533,306,136,2.52342835783131
44100,44100,338653.875535156,6532675.8492533,338683.875535156,6532645.8492533,307,136,0.975865674674925
44101,44101,338653.875535156,6532645.8492533,338683.875535156,6532615.8492533,308,136,0.378967680535797
44102,44102,338653.875535156,6532615.8492533,338683.875535156,6532585.8492533,309,136,1.05474167877963
44103,44103,338653.875535156,6532585.8492533,338683.875535156,6532555.8492533,310,136,1.26312009604441
44104,44104,338653.875535156,6532555.8492533,338683.875535156,6532525.8492533,311,136,2.27056232949098
44105,44105,338653.875535156,6532525.8492533,338683.875535156,6532495.8492533,312,136,3.01557642761204
44106,44106,338653.875535156,6532495.8492533,338683.875535156,6532465.8492533,313,136,3.30644465996159
44107,44107,338653.875535156,6532465.8492533,338683.875535156,6532435.8492533,314,136,3.65668048600356
44108,44108,338653.875535156,6532435.8492533,338683.875535156,6532405.8492533,315,136,3.56056190126472
44109,44109,338653.875535156,6532405.8492533,338683.875535156,6532375.8492533,316,136,3.65251428491539
44110,44110,338653.875535156,6532375.8492533,338683.875535156,6532345.8492533,317,136,3.58285307635864
44111,44111,338653.875535156,6532345.8492533,338683.875535156,6532315.8492533,318,136,3.06809541182386
44112,44112,338653.875535156,6532315.8492533,338683.875535156,6532285.8492533,319,136,3.65726869748986
44048,44048,338653.875535156,6534235.8492533,338683.875535156,6534205.8492533,255,136,3.90705110280942
44049,44049,338653.875535156,6534205.8492533,338683.875535156,6534175.8492533,256,136,4.50103331595352
44052,44052,338653.875535156,6534115.8492533,338683.875535156,6534085.8492533,259,136,2.61376183646641
44053,44053,338653.875535156,6534085.8492533,338683.875535156,6534055.8492533,260,136,4.75366121358683
44054,44054,338653.875535156,6534055.8492533,338683.875535156,6534025.8492533,261,136,5.04030473756266
44055,44055,338653.875535156,6534025.8492533,338683.875535156,6533995.8492533,262,136,2.95025114318002
44056,44056,338653.875535156,6533995.8492533,338683.875535156,6533965.8492533,263,136,4.53890799778264
44057,44057,338653.875535156,6533965.8492533,338683.875535156,6533935.8492533,264,136,3.82393572000994
44058,44058,338653.875535156,6533935.8492533,338683.875535156,6533905.8492533,265,136,2.7414181908634
44059,44059,338653.875535156,6533905.8492533,338683.875535156,6533875.8492533,266,136,3.03627649688058
44060,44060,338653.875535156,6533875.8492533,338683.875535156,6533845.8492533,267,136,2.81289249506262
44061,44061,338653.875535156,6533845.8492533,338683.875535156,6533815.8492533,268,136,3.77879783584012
44062,44062,338653.875535156,6533815.8492533,338683.875535156,6533785.8492533,269,136,2.77402871174945
44063,44063,338653.875535156,6533785.8492533,338683.875535156,6533755.8492533,270,136,2.34546189043257
44064,44064,338653.875535156,6533755.8492533,338683.875535156,6533725.8492533,271,136,2.85905375834968
39558,39558,338233.875535156,6533695.8492533,338263.875535156,6533665.8492533,273,122,2.28528443121248
39559,39559,338233.875535156,6533665.8492533,338263.875535156,6533635.8492533,274,122,1.95165273868375
39560,39560,338233.875535156,6533635.8492533,338263.875535156,6533605.8492533,275,122,2.56770606401904
39561,39561,338233.875535156,6533605.8492533,338263.875535156,6533575.8492533,276,122,2.6914636957181
39562,39562,338233.875535156,6533575.8492533,338263.875535156,6533545.8492533,277,122,4.06217006067686
39563,39563,338233.875535156,6533545.8492533,338263.875535156,6533515.8492533,278,122,4.67973639518023
39572,39572,338233.875535156,6533275.8492533,338263.875535156,6533245.8492533,287,122,3.84521783258497
39573,39573,338233.875535156,6533245.8492533,338263.875535156,6533215.8492533,288,122,3.32631264665021
39574,39574,338233.875535156,6533215.8492533,338263.875535156,6533185.8492533,289,122,2.84189689734886
39879,39879,338263.875535156,6533725.8492533,338293.875535156,6533695.8492533,272,123,2.91137771513727
39880,39880,338263.875535156,6533695.8492533,338293.875535156,6533665.8492533,273,123,2.3517992792858
39881,39881,338263.875535156,6533665.8492533,338293.875535156,6533635.8492533,274,123,4.21841429962052
39882,39882,338263.875535156,6533635.8492533,338293.875535156,6533605.8492533,275,123,4.53932214577993
39883,39883,338263.875535156,6533605.8492533,338293.875535156,6533575.8492533,276,123,4.42373752574126
39884,39884,338263.875535156,6533575.8492533,338293.875535156,6533545.8492533,277,123,2.41873845219612
39885,39885,338263.875535156,6533545.8492533,338293.875535156,6533515.8492533,278,123,2.87469647106197
39886,39886,338263.875535156,6533515.8492533,338293.875535156,6533485.8492533,279,123,4.63131097462511
39887,39887,338263.875535156,6533485.8492533,338293.875535156,6533455.8492533,280,123,4.14402320716954
39893,39893,338263.875535156,6533305.8492533,338293.875535156,6533275.8492533,286,123,0.524943773235593
39894,39894,338263.875535156,6533275.8492533,338293.875535156,6533245.8492533,287,123,4.09231831308125
39895,39895,338263.875535156,6533245.8492533,338293.875535156,6533215.8492533,288,123,4.24953415877289
39896,39896,338263.875535156,6533215.8492533,338293.875535156,6533185.8492533,289,123,2.9499973755175
40187,40187,338293.875535156,6534145.8492533,338323.875535156,6534115.8492533,258,124,0.458807727127439
40188,40188,338293.875535156,6534115.8492533,338323.875535156,6534085.8492533,259,124,0.037362844307193
40189,40189,338293.875535156,6534085.8492533,338323.875535156,6534055.8492533,260,124,0.000480792343607087
40190,40190,338293.875535156,6534055.8492533,338323.875535156,6534025.8492533,261,124,0.0655823228515761
40191,40191,338293.875535156,6534025.8492533,338323.875535156,6533995.8492533,262,124,0.0231855772514367
40192,40192,338293.875535156,6533995.8492533,338323.875535156,6533965.8492533,263,124,0.0513533374658113
40193,40193,338293.875535156,6533965.8492533,338323.875535156,6533935.8492533,264,124,0.383669495514284
40194,40194,338293.875535156,6533935.8492533,338323.875535156,6533905.8492533,265,124,0.404497816020416
40195,40195,338293.875535156,6533905.8492533,338323.875535156,6533875.8492533,266,124,0.429379594346715
40196,40196,338293.875535156,6533875.8492533,338323.875535156,6533845.8492533,267,124,1.31988274209201
40197,40197,338293.875535156,6533845.8492533,338323.875535156,6533815.8492533,268,124,2.44469729138745
40198,40198,338293.875535156,6533815.8492533,338323.875535156,6533785.8492533,269,124,2.1394322746661
40199,40199,338293.875535156,6533785.8492533,338323.875535156,6533755.8492533,270,124,1.5185423257947
40200,40200,338293.875535156,6533755.8492533,338323.875535156,6533725.8492533,271,124,3.07979615691635
40201,40201,338293.875535156,6533725.8492533,338323.875535156,6533695.8492533,272,124,4.53280643906858
40202,40202,338293.875535156,6533695.8492533,338323.875535156,6533665.8492533,273,124,2.9858382494996
40203,40203,338293.875535156,6533665.8492533,338323.875535156,6533635.8492533,274,124,2.17576998516917
39541,39541,338233.875535156,6534205.8492533,338263.875535156,6534175.8492533,256,122,1.1809448428452
39542,39542,338233.875535156,6534175.8492533,338263.875535156,6534145.8492533,257,122,0.964491620270742
39543,39543,338233.875535156,6534145.8492533,338263.875535156,6534115.8492533,258,122,0.516005023211862
39544,39544,338233.875535156,6534115.8492533,338263.875535156,6534085.8492533,259,122,6.48615387777487
39545,39545,338233.875535156,6534085.8492533,338263.875535156,6534055.8492533,260,122,3.01947579405374
39546,39546,338233.875535156,6534055.8492533,338263.875535156,6534025.8492533,261,122,0.738160733051934
39547,39547,338233.875535156,6534025.8492533,338263.875535156,6533995.8492533,262,122,2.15176363784975
39548,39548,338233.875535156,6533995.8492533,338263.875535156,6533965.8492533,263,122,0.220123935715916
39549,39549,338233.875535156,6533965.8492533,338263.875535156,6533935.8492533,264,122,0.0328446094242908
39550,39550,338233.875535156,6533935.8492533,338263.875535156,6533905.8492533,265,122,0.0712876686929829
39551,39551,338233.875535156,6533905.8492533,338263.875535156,6533875.8492533,266,122,0.180406445985039
39552,39552,338233.875535156,6533875.8492533,338263.875535156,6533845.8492533,267,122,0.577519306364573
39553,39553,338233.875535156,6533845.8492533,338263.875535156,6533815.8492533,268,122,1.12705712085797
39554,39554,338233.875535156,6533815.8492533,338263.875535156,6533785.8492533,269,122,1.02264249525136
39555,39555,338233.875535156,6533785.8492533,338263.875535156,6533755.8492533,270,122,1.73775073337886
39556,39556,338233.875535156,6533755.8492533,338263.875535156,6533725.8492533,271,122,2.8420999867883
39557,39557,338233.875535156,6533725.8492533,338263.875535156,6533695.8492533,272,122,2.43107600096199
39862,39862,338263.875535156,6534235.8492533,338293.875535156,6534205.8492533,255,123,0.193317479521655
39863,39863,338263.875535156,6534205.8492533,338293.875535156,6534175.8492533,256,123,0.362372556080421
39864,39864,338263.875535156,6534175.8492533,338293.875535156,6534145.8492533,257,123,0.555246302373707
39865,39865,338263.875535156,6534145.8492533,338293.875535156,6534115.8492533,258,123,0.356335655884403
39866,39866,338263.875535156,6534115.8492533,338293.875535156,6534085.8492533,259,123,2.14880438434496
39867,39867,338263.875535156,6534085.8492533,338293.875535156,6534055.8492533,260,123,0.571237217272996
39868,39868,338263.875535156,6534055.8492533,338293.875535156,6534025.8492533,261,123,0.114185244234067
39869,39869,338263.875535156,6534025.8492533,338293.875535156,6533995.8492533,262,123,0.0144214881717195
39870,39870,338263.875535156,6533995.8492533,338293.875535156,6533965.8492533,263,123,0.122116225407743
39871,39871,338263.875535156,6533965.8492533,338293.875535156,6533935.8492533,264,123,0.107876855506976
39872,39872,338263.875535156,6533935.8492533,338293.875535156,6533905.8492533,265,123,0.11242814365257
39873,39873,338263.875535156,6533905.8492533,338293.875535156,6533875.8492533,266,123,0.263665093208353
39874,39874,338263.875535156,6533875.8492533,338293.875535156,6533845.8492533,267,123,1.68455010121895
39875,39875,338263.875535156,6533845.8492533,338293.875535156,6533815.8492533,268,123,4.63070770588186
39876,39876,338263.875535156,6533815.8492533,338293.875535156,6533785.8492533,269,123,2.49933766444524
39877,39877,338263.875535156,6533785.8492533,338293.875535156,6533755.8492533,270,123,2.26511671990156
39878,39878,338263.875535156,6533755.8492533,338293.875535156,6533725.8492533,271,123,4.55820484926303
40184,40184,338293.875535156,6534235.8492533,338323.875535156,6534205.8492533,255,124,0.166863569794461
40185,40185,338293.875535156,6534205.8492533,338323.875535156,6534175.8492533,256,124,0.189157141436719
40186,40186,338293.875535156,6534175.8492533,338323.875535156,6534145.8492533,257,124,0.189243379849423
39540,39540,338233.875535156,6534235.8492533,338263.875535156,6534205.8492533,255,122,0.878499798666347
40204,40204,338293.875535156,6533635.8492533,338323.875535156,6533605.8492533,275,124,4.54840097387632
40205,40205,338293.875535156,6533605.8492533,338323.875535156,6533575.8492533,276,124,3.44004333343771
40206,40206,338293.875535156,6533575.8492533,338323.875535156,6533545.8492533,277,124,3.59566900581121
40207,40207,338293.875535156,6533545.8492533,338323.875535156,6533515.8492533,278,124,1.3987088819676
40208,40208,338293.875535156,6533515.8492533,338323.875535156,6533485.8492533,279,124,3.00411208040184
40209,40209,338293.875535156,6533485.8492533,338323.875535156,6533455.8492533,280,124,3.05666406904934
40210,40210,338293.875535156,6533455.8492533,338323.875535156,6533425.8492533,281,124,2.00023031303599
40211,40211,338293.875535156,6533425.8492533,338323.875535156,6533395.8492533,282,124,3.36084762166639
40212,40212,338293.875535156,6533395.8492533,338323.875535156,6533365.8492533,283,124,6.39177875684449
40213,40213,338293.875535156,6533365.8492533,338323.875535156,6533335.8492533,284,124,5.86065004354432
40214,40214,338293.875535156,6533335.8492533,338323.875535156,6533305.8492533,285,124,2.56744700226723
40215,40215,338293.875535156,6533305.8492533,338323.875535156,6533275.8492533,286,124,1.1343319078325
40216,40216,338293.875535156,6533275.8492533,338323.875535156,6533245.8492533,287,124,0.767118946291092
40217,40217,338293.875535156,6533245.8492533,338323.875535156,6533215.8492533,288,124,1.33725870242239
